case_id,category,symptom,topology,expected_issue,expected_root_cause,evidence,recommended_action,recommended_command,confidence
CASE001,VLAN,PC in VLAN 30 cannot reach server,PC connected to access switch in VLAN 30; server is in VLAN 20,VLAN,Required VLAN or VLAN path is missing,"show vlan brief: VLAN 30 missing",Verify VLAN configuration and trunk path,show vlan brief,High
CASE002,VLAN,Users in VLAN 20 cannot communicate with VLAN 30,Two access VLANs require inter-VLAN routing,VLAN,Inter-VLAN routing is unavailable,"show vlan brief shows VLAN 20 and VLAN 30; no routing evidence",Verify Layer 3 VLAN gateway configuration,show ip interface,High
CASE003,VLAN,New VLAN users have no network connectivity,Access switch has ports assigned to a new VLAN,VLAN,VLAN is not present on switch,"show vlan brief does not contain required VLAN",Create or verify the required VLAN configuration,show vlan brief,High
CASE004,VLAN,Users lose connectivity when connected through trunk,Switches connected using trunk link,VLAN,Required VLAN is not allowed on trunk,"show interfaces trunk does not list required VLAN",Verify trunk allowed VLAN configuration,show interfaces trunk,High
CASE005,VLAN,Only one VLAN works across trunk,Two switches connected through trunk,VLAN,Trunk VLAN filtering is incorrect,"show interfaces trunk shows missing VLAN",Verify allowed VLAN list,show interfaces trunk,High
CASE006,Gateway,PC cannot reach remote network,PC 192.168.10.10/24 with gateway 192.168.10.1,Gateway,Default gateway is outside host subnet,"gateway 192.168.20.1 is not in 192.168.10.0/24",Correct or verify default gateway configuration,show running-config,High
CASE007,Gateway,Host can reach local devices but not remote networks,PC has local connectivity but no remote connectivity,Gateway,Default gateway is missing,"host configuration has no default gateway",Configure correct default gateway,show running-config,High
CASE008,Gateway,Multiple hosts cannot reach external network,Hosts use the same incorrect gateway,Gateway,Incorrect gateway configured,"gateway differs from router interface subnet",Verify gateway addressing and router interface,show ip interface,High
CASE009,DHCP,PC receives 169.254.x.x address,DHCP clients connected to access VLAN,DHCP,DHCP server or relay is unreachable,"client receives APIPA address",Verify DHCP server reachability and relay configuration,show ip interface,High
CASE010,DHCP,Some VLAN clients receive no IP address,Multiple VLANs use centralized DHCP,DHCP,DHCP relay configuration may be missing,"DHCP requests fail from one VLAN",Verify DHCP relay configuration,show running-config,Medium
CASE011,DHCP,Clients receive wrong subnet address,DHCP server serves multiple network pools,DHCP,Incorrect DHCP scope configuration,"client address does not match VLAN subnet",Verify DHCP pool and VLAN mapping,show running-config,Medium
CASE012,DHCP,DHCP clients intermittently lose addresses,Large number of clients use DHCP,DHCP,DHCP pool may be exhausted,"available DHCP addresses are insufficient",Check DHCP pool utilization,show running-config,Medium
CASE013,DNS,Users can access servers by IP but not hostname,Clients use centralized DNS,DNS,DNS configuration or server is unavailable,"IP connectivity works while hostname resolution fails",Verify DNS server configuration and reachability,show ip interface,High
CASE014,DNS,Only some domains fail to resolve,Clients use configured DNS server,DNS,DNS forwarding or DNS records are incomplete,"some names resolve while others fail",Verify DNS server and forwarding configuration,show running-config,Medium
CASE015,DNS,Internal hostname cannot be resolved,Internal application uses private DNS,DNS,Internal DNS record is missing,"internal hostname lookup fails",Verify internal DNS records,show running-config,Medium
CASE016,Routing,PC cannot reach server network,Router connects multiple networks,Routing,Required destination route is missing,"show ip route does not contain 192.168.30.0/24",Verify routing table and routing configuration,show ip route,High
CASE017,Routing,Remote subnet is unreachable,Router should learn remote network dynamically,Routing,Dynamic route is missing,"show ip route lacks expected remote network",Verify routing protocol operation,show ip route,High
CASE018,Routing,Traffic reaches router but not destination,Multiple routers exist between source and destination,Routing,Next-hop or return route is missing,"routing table lacks required path",Verify next-hop and return routing,show ip route,High
CASE019,Routing,Only one direction of communication works,Two routed networks communicate through multiple routers,Routing,Return route is missing,"route exists in one direction but not reverse direction",Verify routing tables on both routers,show ip route,High
CASE020,Routing,Default route is unavailable,Edge router requires upstream connectivity,Routing,Default route is missing,"show ip route has no default route",Verify default route configuration,show ip route,High
CASE021,ACL,Users cannot access application server,ACL configured between user and server networks,ACL,ACL denies required traffic,"show access-lists contains deny entry matching traffic",Review ACL rules and permitted traffic,show access-lists,High
CASE022,ACL,Ping works but application traffic fails,ICMP works while TCP application traffic fails,ACL,ACL blocks application port,"show access-lists shows deny for application traffic",Verify protocol and port permissions,show access-lists,High
CASE023,ACL,Only one subnet is unable to access server,ACL applies to multiple source networks,ACL,Specific source subnet is denied,"ACL contains deny rule for source subnet",Review source-specific ACL entry,show access-lists,High
CASE024,NAT,Internal hosts cannot access Internet,Edge router performs NAT,NAT,NAT translation is not occurring,"NAT configuration or translation evidence is missing",Verify NAT inside/outside interfaces and rules,show running-config,High
CASE025,NAT,Some internal hosts can access Internet but others cannot,Multiple internal subnets use NAT,NAT,NAT rule does not include all source networks,"NAT configuration excludes affected subnet",Verify NAT access list and pool configuration,show running-config,Medium
CASE026,NAT,Public server is unreachable from Internet,Static NAT configured for internal server,NAT,Static translation is missing or incorrect,"NAT configuration lacks expected static mapping",Verify static NAT configuration,show running-config,High
CASE027,Wireless,Users cannot connect to corporate Wi-Fi,Wireless clients connect through AP infrastructure,Wireless,Wireless access configuration is unavailable,"client association/authentication evidence indicates failure",Verify wireless SSID and authentication configuration,show running-config,Medium
CASE028,Wireless,Wi-Fi clients connect but cannot access network,Wireless clients obtain association but no network access,Wireless,VLAN or gateway mapping for wireless clients is incorrect,"wireless clients are associated but network path is unavailable",Verify wireless VLAN and gateway configuration,show vlan brief,High
CASE029,Interface,Network connection is completely unavailable,Router interface connects to downstream network,Interface Status,Interface is administratively disabled,"interface is administratively down",Verify interface and enable it if intentionally disabled,show interfaces status,High
CASE030,Interface,Network connection is unstable,Router interface connects to endpoint,Interface Status,Interface is operationally down,"interface is down and line protocol is down",Inspect interface state and physical connectivity,show interfaces status,High
CASE031,Duplicate IP,Two hosts intermittently lose connectivity,Multiple hosts share the same subnet,Duplicate IP,Duplicate IPv4 address exists,"same IP address appears multiple times in evidence",Identify conflicting hosts and correct addressing,show ip arp,High
CASE032,Subnet Mask,Host cannot communicate with expected subnet,Host configured with IPv4 address and subnet mask,Subnet Mask,Subnet mask is invalid or incorrect,"host IP and subnet mask do not form expected network",Verify host subnet mask and addressing,show running-config,High
